Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,id
2014-04-18,Falcon 9,2296.0,ISS,CCSFS SLC 40,True - Ocean,1,False,False,True,,1.0,0,B1006,-80.577366,28.5618571,5eb87ce4ffd86e000604b337
2014-07-14,Falcon 9,1316.0,LEO,CCSFS SLC 40,True - Ocean,1,False,False,True,,1.0,0,B1007,-80.577366,28.5618571,5eb87ce4ffd86e000604b338
2014-08-05,Falcon 9,4535.0,GTO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B1008,-80.577366,28.5618571,5eb87ce5ffd86e000604b339
2014-09-07,Falcon 9,4428.0,GTO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B1011,-80.577366,28.5618571,5eb87ce6ffd86e000604b33a
2014-09-21,Falcon 9,2216.0,ISS,CCSFS SLC 40,False - Ocean,1,False,False,False,,1.0,0,B1010,-80.577366,28.5618571,5eb87ce7ffd86e000604b33b
2015-01-10,Falcon 9,2395.0,ISS,CCSFS SLC 40,False - ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1012,-80.577366,28.5618571,5eb87ce8ffd86e000604b33c
2015-02-11,Falcon 9,570.0,ES-L1,CCSFS SLC 40,True - Ocean,1,True,False,True,,1.0,0,B1013,-80.577366,28.5618571,5eb87ceaffd86e000604b33d
2015-03-02,Falcon 9,4159.0,GTO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B1014,-80.577366,28.5618571,5eb87ceaffd86e000604b33e
2015-04-14,Falcon 9,1898.0,ISS,CCSFS SLC 40,False - ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1015,-80.577366,28.5618571,5eb87cecffd86e000604b33f
2015-04-27,Falcon 9,4707.0,GTO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B1016,-80.577366,28.5618571,5eb87cedffd86e000604b340
2015-06-28,Falcon 9,2477.0,ISS,CCSFS SLC 40,None - ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1018,-80.577366,28.5618571,5eb87ceeffd86e000604b341
2015-12-22,Falcon 9,2034.0,LEO,CCSFS SLC 40,True - RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1019,-80.577366,28.5618571,5eb87cefffd86e000604b342
2016-01-17,Falcon 9,553.0,PO,VAFB SLC 4E,False - ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0,B1017,-120.610829,34.632093,5eb87cf0ffd86e000604b343
2016-03-04,Falcon 9,5271.0,GTO,CCSFS SLC 40,False - ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1020,-80.577366,28.5618571,5eb87cf2ffd86e000604b344
2016-04-08,Falcon 9,3136.0,ISS,CCSFS SLC 40,True - ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021,-80.577366,28.5618571,5eb87cf3ffd86e000604b345
2016-05-06,Falcon 9,4696.0,GTO,CCSFS SLC 40,True - ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1022,-80.577366,28.5618571,5eb87cf5ffd86e000604b346
2016-05-27,Falcon 9,3100.0,GTO,CCSFS SLC 40,True - ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1023,-80.577366,28.5618571,5eb87cf6ffd86e000604b347
2016-06-15,Falcon 9,3600.0,GTO,CCSFS SLC 40,False - ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1024,-80.577366,28.5618571,5eb87cf8ffd86e000604b348
2016-07-18,Falcon 9,2257.0,ISS,CCSFS SLC 40,True - RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1,B1025,-80.577366,28.5618571,5eb87cf9ffd86e000604b349
2016-08-14,Falcon 9,4600.0,GTO,CCSFS SLC 40,True - ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1026,-80.577366,28.5618571,5eb87cfaffd86e000604b34a
2016-09-01,Falcon 9,5500.0,GTO,CCSFS SLC 40,None - ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0,B1028,-80.577366,28.5618571,5eb87cfbffd86e000604b34b
2017-01-14,Falcon 9,9600.0,PO,VAFB SLC 4E,True - ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1029,-120.610829,34.632093,5eb87cfdffd86e000604b34c
2017-02-19,Falcon 9,2490.0,ISS,KSC LC 39A,True - RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1031,-80.6039558,28.6080585,5eb87cfeffd86e000604b34d
2017-03-16,Falcon 9,5600.0,GTO,KSC LC 39A,None - None,1,False,False,False,,3.0,0,B1030,-80.6039558,28.6080585,5eb87cfeffd86e000604b34e
2017-03-30,Falcon 9,5300.0,GTO,KSC LC 39A,True - ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021,-80.6039558,28.6080585,5eb87d00ffd86e000604b34f
2017-05-01,Falcon 9,,LEO,KSC LC 39A,True - RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1032,-80.6039558,28.6080585,5eb87d01ffd86e000604b350
2017-05-15,Falcon 9,6070.0,GTO,KSC LC 39A,None - None,1,False,False,False,,3.0,0,B1034,-80.6039558,28.6080585,5eb87d01ffd86e000604b351
2017-06-03,Falcon 9,2708.0,ISS,KSC LC 39A,True - RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035,-80.6039558,28.6080585,5eb87d03ffd86e000604b352
2017-06-23,Falcon 9,3669.0,GTO,KSC LC 39A,True - ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1029,-80.6039558,28.6080585,5eb87d04ffd86e000604b353
2017-06-25,Falcon 9,9600.0,PO,VAFB SLC 4E,True - ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1036,-120.610829,34.632093,5eb87d05ffd86e000604b354
2017-07-05,Falcon 9,6761.0,GTO,KSC LC 39A,None - None,1,False,False,False,,3.0,0,B1037,-80.6039558,28.6080585,5eb87d06ffd86e000604b355
2017-08-14,Falcon 9,2910.0,ISS,KSC LC 39A,True - RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1039,-80.6039558,28.6080585,5eb87d07ffd86e000604b356
2017-08-24,Falcon 9,475.0,SSO,VAFB SLC 4E,True - ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1038,-120.610829,34.632093,5eb87d08ffd86e000604b357
2017-09-07,Falcon 9,4990.0,LEO,KSC LC 39A,True - RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1040,-80.6039558,28.6080585,5eb87d09ffd86e000604b358
